Address of the authorisation holder,Date from which the product is authorised,Date until which the product is authorised,Description and characterisation of the product,Name of the authorisation holder,Name of the product,Unique code,Food category,Maximum level g/kg
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,1.7. Cheese and cheese products,2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,2. Fats and oils and fat and oil emulsions,0.002
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,3. Edible ices,0.005
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,5. Confectionery,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,8.1.2. Meat preparations as defined by Regulation (EC) No 853/2004 of the European Parliament and of the Council (2),2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,8.2. Processed meat,2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,9.2. Processed fish and fishery products including crustaceans and molluscs,2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,9.3. Fish roe,2.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,"12.2. Herbs, spices, seasonings",2.3
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,12.5. Soups and broths,0.23
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,12.6. Sauces,1.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,12.7. Salads and savoury based sandwich spreads,0.23
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,14.1. Non-alcoholic beverages,0.02
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,"14.2. Alcoholic beverages, including alcohol-free and low-alcohol counterparts",0.02
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 90 % beech (Fagus sylvatica), 10 % oak (Quercus alba)
2.
Specifications:
pH: 2,1 - 2,9
Water: 47,0 - 56,0 %
Acid % (expressed as acetic acid): 8 - 12 %
Carbonyl compounds: 17 - 25 %
Phenols (as syringol, mg/g): 10,5 - 20,1
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke PB 1110,SF-001,15. Ready-to-eat savouries and snacks,2.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,1.7. Cheese and cheese products,0.50
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,"1.8. Dairy analogues, including beverage whiteners",0.50
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,4.2. Processed fruits and vegetables,0.30
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,8.1.2. Meat preparations as defined by Regulation (EC) No 853/2004,2.5
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,8.2. Processed meat,2.5
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,9.2. Processed fish and fishery products including crustaceans and molluscs,2.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,9.3. Fish roe,2.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,"12.2. Herbs, spices, seasonings",3.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,12.5. Soups and broths,0.30
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,12.6. Sauces,1.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,"12.9. Protein products, excluding products covered in category 1.8",1.0
Draycott Mills; Cam; Dursley; Gloucestershire GL11 5NA; UNITED KINGDOM,1 January 2014,1 January 2024,"1.
Source material:
 50 - 60 % of hickory (Carya ovata), 40 - 50 % oak (Quercus alba)
2.
Specifications:
pH: 2,0 - 2,5
Water: 62,3 - 65,7 %
Acid % (expressed as acetic acid): 10,5 - 11 %
Carbonyl compounds (g/100 ml): 15 - 25
Phenols (mg/ml): 12 - 22
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Mastertaste,Zesti Smoke Code 10,SF-002,15. Ready-to-eat savouries and snacks,3.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,1. Dairy products and analogue,0.50
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,4.2. Processed fruits and vegetables,0.30
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,6.4.5. Fillings of stuffed pasta (ravioli and similar),1.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,7.1. Breads and rolls,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,7.2. Fine bakery wares,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,8. Meat,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,9.2. Processed fish and fishery products including crustaceans and molluscs,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,9.3. Fish roe,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,"12.2. Herbs, spices, seasonings",3.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,12.5. Soups and broths,0.60
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,12.6. Sauces,4.0
