Address of the authorisation holder,Date from which the product is authorised,Date until which the product is authorised,Description and characterisation of the product,Name of the authorisation holder,Name of the product,Unique code,Food category,Maximum level g/kg
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,12.7. Salads and savoury based sandwich spreads,1.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,"12.9. Protein products, excluding products covered in category 1.8",1.0
Mühlenfeldstraße 1; 37603 Holzminden; GERMANY,1 January 2014,1 January 2024,"1.
Source material:
 Beech (Fagus sylvatica)
2.
Specifications:
pH: 2 - 3
Water: 5 - 15 %
Acid % (expressed as acetic acid): 8 - 15 %
Carbonyl compounds: 10 - 20 %
Phenols: 0,2 - 0,6 %
3.
Purity criteria:
Lead: < 5 mg/kg
Arsenic: < 3 mg/kg
Cadmium: < 1 mg/kg
Mercury: < 1 mg/kg",Symrise AG,Smoke Concentrate 809045,SF-003,15. Ready-to-eat savouries and snacks,3.0
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,1. Dairy products and analogue,0.16
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,2. Fats and oils and fat and oil emulsions,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,4.2. Processed fruits and vegetables,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,5. Confectionery,0.08
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,6. Cereals and cereal products,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,7.1. Breads and rolls,0.08
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,7.2. Fine bakery wares,0.08
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,8. Meat,0.16
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,9.2. Processed fish and fishery products including crustaceans and molluscs,0.16
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,9.3. Fish roe,0.16
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,10.2. Processed eggs and egg products,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,"12.2. Herbs, spices, seasonings",0.18
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,12.5. Soups and broths,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,12.6. Sauces,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,12.7. Salads and savoury based sandwich spreads,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,"12.9. Protein products, excluding products covered in category 1.8",0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,14.1. Non-alcoholic beverages,0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,"14.2. Alcoholic beverages, including alcohol-free and low-alcohol counterparts",0.05
Lundtoftegaardsvej 95; 2800 Lyngby; DENMARK,1 January 2014,1 January 2024,"1.
Source materials:
 35 % red oak (Quercus rubra), 35 % white oak (Quercus alba), 10 % maple (Acer saccharum), 10 % beech (Fagus grandifolia) and 10 % hickory (Carya ovata).
2.
Specifications:
Water: 0,3 - 0,9 wt. %
Acid (expressed as acetic acid): 0,09 - 0,25 meq/g
Carbonyl compounds: 1,2 - 3,0 wt. %
Phenols: 8 - 12 wt. %
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Azelis Denmark A/S,Scansmoke SEF 7525,SF-004,15. Ready-to-eat savouries and snacks,0.08
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 60 %
Oak (Quercus alba): 10 - 40 %
Hickory (Carya ovata): 10 - 25 %
Ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,15 - 2,6
Water: 60,7 - 65,1 %
Acid % (expressed as acetic acid): 10,5 - 12,0 wt. %
Carbonyl compounds: 12,0 - 17,0 wt. %
Phenols: 10,0 - 15,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz C-10,SF-005,1.7. Cheese and cheese products,0.20
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 60 %
Oak (Quercus alba): 10 - 40 %
Hickory (Carya ovata): 10 - 25 %
Ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,15 - 2,6
Water: 60,7 - 65,1 %
Acid % (expressed as acetic acid): 10,5 - 12,0 wt. %
Carbonyl compounds: 12,0 - 17,0 wt. %
Phenols: 10,0 - 15,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz C-10,SF-005,8.1.2. Meat preparations as defined by Regulation (EC) no 853/2004,2.5
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 60 %
Oak (Quercus alba): 10 - 40 %
Hickory (Carya ovata): 10 - 25 %
Ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,15 - 2,6
Water: 60,7 - 65,1 %
Acid % (expressed as acetic acid): 10,5 - 12,0 wt. %
Carbonyl compounds: 12,0 - 17,0 wt. %
Phenols: 10,0 - 15,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz C-10,SF-005,8.2. Processed meat,2.5
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 60 %
Oak (Quercus alba): 10 - 40 %
Hickory (Carya ovata): 10 - 25 %
Ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,15 - 2,6
Water: 60,7 - 65,1 %
Acid % (expressed as acetic acid): 10,5 - 12,0 wt. %
Carbonyl compounds: 12,0 - 17,0 wt. %
Phenols: 10,0 - 15,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz C-10,SF-005,9.2. Processed fish and fishery products including crustaceans and molluscs,2.0
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 60 %
Oak (Quercus alba): 10 - 40 %
Hickory (Carya ovata): 10 - 25 %
Ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,15 - 2,6
Water: 60,7 - 65,1 %
Acid % (expressed as acetic acid): 10,5 - 12,0 wt. %
Carbonyl compounds: 12,0 - 17,0 wt. %
Phenols: 10,0 - 15,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz C-10,SF-005,9.3. Fish roe,2.0
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 60 %
Oak (Quercus alba): 10 - 40 %
Hickory (Carya ovata): 10 - 25 %
Ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,15 - 2,6
Water: 60,7 - 65,1 %
Acid % (expressed as acetic acid): 10,5 - 12,0 wt. %
Carbonyl compounds: 12,0 - 17,0 wt. %
Phenols: 10,0 - 15,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz C-10,SF-005,"12.2. Herbs, spices, seasoning and condiments",3.0
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 60 %
Oak (Quercus alba): 10 - 40 %
Hickory (Carya ovata): 10 - 25 %
Ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,15 - 2,6
Water: 60,7 - 65,1 %
Acid % (expressed as acetic acid): 10,5 - 12,0 wt. %
Carbonyl compounds: 12,0 - 17,0 wt. %
Phenols: 10,0 - 15,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz C-10,SF-005,12.6. Sauces and like products,3.0
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 60 %
Oak (Quercus alba): 10 - 40 %
Hickory (Carya ovata): 10 - 25 %
Ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,15 - 2,6
Water: 60,7 - 65,1 %
Acid % (expressed as acetic acid): 10,5 - 12,0 wt. %
Carbonyl compounds: 12,0 - 17,0 wt. %
Phenols: 10,0 - 15,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz C-10,SF-005,15. Ready-to-eat savouries and snacks,3.0
"P.O. Box 1537; 633 South 20th street; Manitowoc, WI 54221- 1537; USA",1 January 2014,1 January 2024,"1.
Source materials:
Maple (Acer saccharum): 25 - 65 %
Oak (Quercus alba): 20 - 75 %
Hickory (Carya ovata), ash (Fraxinus americana), birch (Betula papyrifera and Betula alleghanisensis), cherry (Prunus serotina), beech (Facus grandifolia): 0 - 15 % (in total)
2.
Specifications:
pH: 2,8 - 3,2
Water: 57,0 - 64,4 %
Acid % (expressed as acetic acid): 6,0 - 7,0 wt. %
Carbonyl compounds: 16,0 - 24,0 wt. %
Phenols: 10,0 - 16,0 mg/ml
3.
Purity criteria:
Lead: < 5,0 mg/kg
Arsenic: < 3,0 mg/kg
Cadmium: < 1,0 mg/kg
Mercury: < 1,0 mg/kg",Red Arrow Products Company LLC,SmokEz Enviro-23,SF-006,1.7. Cheese and cheese products,2.0
